"Title","By","FictionOrNon","Subjects","Height","Width","Depth","Shelf","From","Scans","BackedUp","CroppedP2","Notes","boxNumber","rowIndex","bookIndex"
"UC Irvine 2006-2007 General Catalogue","UCI","NF","Academia",27.5,2.6,21.1,"o1c","Gareth","","","","",50,0,14
"The Snobol 4 Programming Language","R. E. Griswold, J. F. Poage, and I. P. Polonsky","NF","Computer Science",27.5,1.5,21,"o1e","Fields","","","","",50,0,15
"Theme Gardens","Barbara Damrosch","NF","Gardening",27.5,1.1,21,"f1a","Fields","055/056","👍","","",50,0,16
"Measure: Wrapping It Up","Jay Coleman","NF","Engineering History",27.5,0.4,21,"o1f","Fields","","","","",50,0,17
"Basic Carpentry Illustrated","A Sunset Book","NF","Carpentry",27.4,0.7,21,"o4f","Schipper Estate","","","","",50,0,18
"The Gardener","Sarah Stewart","F","Children",27.4,0.3,21,"o1d","Schipper Estate","","","","",50,0,19
"Basic Gardening Illustrated","A Sunset Book","NF","Gardening",27.2,1,21,"o1d","Schipper Estate","","","","",50,0,20
"How to Grow Orchids","David E. Clark","NF","Gardening",27.2,0.5,21,"f1a","Fields","085/086","👍","","",50,0,21
"Garden Pools, Fountains, and Waterfalls","A Sunset Book","NF","Gardening, Landscape",27.1,0.7,21,"o1a","Schipper Estate","","","","",50,0,22
"Curtains, Draperies, and Shades","A Sunset Book","NF","General Nonfiction",26.9,0.8,20.9,"o4f","Schipper Estate","","","","",50,0,23
"All About Annuals","Ortho Books","NF","Gardening",27.5,0.7,20.7,"f1a","Fields","047/048","👍","","",50,0,24
"The Ortho Home Gardener's Problem Solver","Ortho Books","NF","Gardening",27.2,1.8,20.6,"o4f","Schipper Estate","","","","",50,0,25
"Color in your Garden","Robert Bander","NF","Gardening",26.8,0.5,20.5,"f1a","Fields","081/082","👍","","",50,0,26
"Destination Antarctica","Robert Swan","NF","Travel",27.4,0.4,20.4,"o1c","Schipper Estate","","","","",50,0,27
"Rodales's Successful Organic Gardening® Perennials","Susan McClure and C. Colston Burrell","NF","Gardening",27.3,0.9,20.4,"f1a","Fields","037/038","👍","","",50,0,28
"Physics for Science and Engineers","Serwey and Jewett","NF","Physics",27,3.9,20,"o1f","Gareth","","","","",50,0,29
"Michigan Handbook 1932-1933","Michigan University","NF","History",10.5,0.8,6.9,"o5a","Schipper Estate","","","","",50,1,0
"New Testament (1)","TODO","F","Religious",10.6,1.2,6.7,"o5a","Schipper Estate","","","","",50,1,1
"New Testament (2)","TODO","F","Religious",10.5,1.2,6.2,"o5a","Schipper Estate","","","","",50,1,2
"Twinkle, Twinkle, Little Star","Jerry Pinkney","F","Children",27.5,0.8,27.5,"o1a","Schipper Estate","","","","",34,0,0
"The Story of Holly and Ivy","Rumer Godden","F","Children",27.5,0.8,27,"o1d","Schipper Estate","","","","",34,0,1
"Central Park","Louise C. Burnham and George W. W. Packard","NF","History",26.2,1.3,26,"o4f","Schipper Estate","","","","",34,0,2
"Front Yard Gardens","Liz Primeau","NF","Gardening",26,2,21.7,"f1a","Fields","041/042","👍","","Bookmark on page 70/71",34,0,3
"Painting With Acrylics","José Gutiérrez and Nicholas Roukes","NF","Art",26.5,1.9,20.5,"o5g","Schipper Estate","","","","",34,0,4
"The History of American Sailing Ships","Howard L Chapelle","NF","History, Sailing",26,3.8,20,"f1a","Fields","7930/7931","👍","","",34,0,5
"How to Paint Your Boat","Woolsey","NF","Sailling",19.1,0.1,14,"o4c","Schipper Estate","","","","",34,0,6
"Dictionnaire Europa","Larousse","NF","French",10.5,2,7.5,"o5a","Schipper Estate","","","","",34,1,0
"Of Wind, Fog, and Sail","Diane Beeston","NF","History, Sailing",26,2.1,34,"od","Schipper Estate","","","","",4,0,0
"Amelia and Eleanor Go For A Ride","Pam Muñoz Ryan","F","Children",26,1,30.6,"o1d","Schipper Estate","","","","",4,0,1
"Entertaining","Martha Stewart","NF","Cooking",25.8,2.2,25.8,"o4f","Schipper Estate","","","","",4,0,2
"The Scented Garden","Rosemary Verey","NF","Gardening",25.6,1.1,25.6,"o4f","Schipper Estate","","","","",4,0,3
"Old Turtle","Douglas Wood","F","Children",26,0.8,23.5,"o1a","Schipper Estate","","","","",4,0,4
"Old Turtle","Douglas Wood","F","Children",26,0.8,23.5,"o1a","Schipper Estate","","","","",4,0,5
"The Year of the Perfect Christmas Tree","Gloria Houston","F","Children",24.8,0.2,23,"o1d","Schipper Estate","","","","",4,0,6
"Many Moons","James Thurber","F","Children",25,1,22,"f1a","Fields","095/096","👍","","",4,0,7
"Film Art","David Bordwell and Kristen Thompson","NF","Film and Media",26,2.2,21.5,"o1b","Gareth","","","","",4,0,8
"Object Models: Strategies, Patterns, & Applications","Peter Coad","NF","Computer Science",26,2.6,20.8,"o1e","Fields","","","","",4,0,9
"Lippincott Manual of Nursing Practice, Eigth Edition","Lippincott, Williams, and Wilkins","NF","Medical",25.7,4.9,20.8,"o3d","Schipper Estate","","","","",4,0,10
"The Three Happy Lions","Louise Fatio","F","Children",25.7,2,20.7,"f1a","Fields","097/098","👍","","",4,0,11
"Cosmos","Carl Sagan","NF","Astronomy",26,3.5,20.5,"f1b","Fields","","","","",4,0,12
"Henry the Sailor Cat","Mary Calhoun","F","Children",24.8,0.4,20.2,"f1a","Fields","103/104","👍","","",4,0,13
"Crockett's Indoor Garden","James Underwood Crockett","NF","Gardening",26,2.5,20.1,"f1a","Fields","045/046","👍","","",4,0,14
"The Nine To Fivers","Marione R. Nickles","F","Humor",26,1.9,20.1,"o5g","Schipper Estate","","","","",4,0,15
"Long Island Sound","Fessenden S. Blanchard","NF","History, Sailing",26,2.7,20,"f1a","Fields","109/110","👍","","",4,0,16
"Sur Le Vif","Clare Tufts and Hannelore Jarausch","NF","French",25.1,1.3,20,"o5f","Schipper Estate","","","","",4,0,17
"The Shut-Eye Train","Eugene Field","F","Children",26,1,19.9,"o1d","Schipper Estate","","","","",4,0,18
"The Snow Queen","Hans Chirstian Andersen","F","Children",26,1,19.7,"o1d","Schipper Estate","","","","",4,0,19
"Sailing Days","Amy McKay","F","Poetry",24.7,1.5,19.5,"o4e","Schipper Estate","","","","",4,0,20
"Crockett's Flower Garden","James Underwood Crockett","NF","Gardening",25.2,2.1,19,"f1a","Fields","087/088","👍","","",4,0,21
"Crockett's Victory Garden","James Underwood Crockett","NF","Gardening",25.2,2,19,"o4f","Schipper Estate","","","","",4,0,22
"The New Victory Garden","Bob Thomson","NF","Gardening",25.2,1.9,19,"f1a","Fields","089/090","👍","","",4,0,23
"Crockett's Victory Garden","James Underwood Crockett","NF","Gardening",25.1,2.2,19,"f1a","Fields","057/058","👍","","",4,0,24
"Laser Racing","Ed Baird","NF","Sailing",24.2,0.5,18.2,"o4e","Schipper Estate","","","","",4,0,25
"French English, English French","Collins and Robert","NF","French",25,5.3,17.8,"o5e","Schipper Estate","","","","",4,0,26
"Lore of Running","Tim Noakes, MD","NF","Sports",25,5,18,"o3b","Gareth","","","","",4,1,0
"The Strange Last Voyage of Donald Crowhurst","Nicholas Tomalin and Ron Holl","NF","Sailing, History, Biography",24.4,3.1,16.8,"o4e","Schipper Estate","","","","",4,1,1
"Star Wars: A New Hope","George Lucas","F","Fiction",24.1,2.3,16.8,"b1b","Gareth","","","","",4,1,2
"A New Self-Teaching Course in Practical English and Effective Speech","Someone, Jesus Himself for all we know.","NF","English",24.1,5.1,16.3,"o4e","Schipper Estate","","","","",4,1,3
"Broken Shore: The Marin Peninsula","Arthur Quinn","NF","History",23.8,1.7,15.8,"o4d","Schipper Estate","","","","",4,1,4
"The New Roget's Thesaurus in Dictionary Form, Revised, Greatly Expanded","Norman Lewis","NF","English",23.7,3.2,15.8,"o5f","Schipper Estate","","","","",4,1,5
"Tales From The Skipper","H. K. Rigg","F","Sailing",23.5,2.6,15.6,"f2d","Fields","","","","",4,1,6
"Square Foot Gardening","Mel Barholomew","NF","Gardening",23.5,2.8,15.5,"f1a","Fields","071/072","👍","","",4,1,7
"Advanced Racing Tactics","Stuart H. Walker","NF","Sailing",23.5,3,15.2,"f2d","Schipper Estate","","","","",4,1,8
"Doggin' Long Island","Doug Gelbert","NF","Map",23,0.8,15.2,"o1c","Gareth","","","","",4,1,9
"The Art of Deception","Kevin D. Mitnick","NF","General Nonfiction",23,2.8,15,"o3c","Gareth","","","","",4,1,10
"First Ladies of Running","Amby Burfoot","NF","Running, Biography",22.9,1.9,15,"o1b","Gareth","","","","",4,1,11
"Combing the Coast, San Francisco through Big Sur","Ruth A. Jackson","NF","Travel",22.8,1.2,14.9,"o4e","Schipper Estate","","","","",4,1,12
"Can We All Get Along?","Paula D. McClain and Joseph Stewart Jr.","NF","Political Science",22.8,2.1,14.8,"o1b","Gareth","","","","",4,1,13
"Full Production Requires Scientific Reistribution","James Alfred Thorson","NF","Industrial Engineering",22.9,1.7,14.7,"o5f","Schipper Estate","","","","",4,1,14
"The Barefoot Running Book","Jason Robillard","NF","Sports",21.5,1.3,14,"o3b","Gareth","","","","",4,1,15
"House of Light","Mary Oliver","F","Poetry",21.5,0.6,14,"o4c","Schipper Estate","","","","",4,1,16
"JSA:LIR 2004 Yearbook","JSA:LIR","NF","Sailing, History",21,0.8,13.3,"o5c","Schipper Estate","","","","",4,1,17
"Hershey's Fabulous Deserts","Hershey Foods Corporation","NF","Cooking",20.9,0.4,13.3,"o4c","Schipper Estate","","","","",4,1,18
"On The Pulse Of Morning (1)","Maya Angelou","F","Poetry",16.5,0.4,12.2,"o4c","Schipper Estate","","","","",4,1,19
"The Prince and the Pauper","Mark Twain","F","Fiction",18.8,1.5,11.8,"o5e","Schipper Estate","","","","",4,1,20
"Survival Chinese","Boyé Lafayette De Mente","NF","Chinese",15.2,1,10.2,"o4b","Schipper Estate","","","","",4,1,21
"Little Dinosaur","Norman Gorbaty","F","Children",13.2,0.5,10,"o5b","Schipper Estate","","","","",4,1,22
"Sails","Torrey, Huntington, and Shaw","NF","Sailing",14,0.3,9.7,"o4a","Schipper Estate","","","","",4,1,23
"Vest Pocket Spanish","Institute For Language Study","NF","Spanish",15.8,1.1,9.5,"o1b","Fields","","","","",4,1,24
"New Garden Book","Better Homes and Gardens","NF","Gardening",25,5,22,"f1a","Fields","083/084","👍","","",40,0,0
"Food Made Fast: Vegetarian","Dana Jacobi","NF","Cooking",24.1,1.5,21,"o3a","Gareth","","","","",40,0,1
"The Paper Bag Princess","Robert N. Munsch","F","Children",20.3,0.2,20.1,"o5f","Schipper Estate","","","","",40,0,2
"Introduction To Personality","Walter Mischel","NF","Psychology",24.5,3,19.5,"f1b","Fields","","","","",40,0,3
"The Velveteen Rabbit (3)","Margery Williams","F","Children",24.2,1,19,"o5f","Schipper Estate","","","","",40,0,4
"Structured Analysis and System Specification","Tom Demarco","NF","Computer Science",24.6,2,18.7,"o1f","Fields","","","","",40,0,5
"Grow With Your Plants The Mother Earth Hassle-Free Way","Joel Rapp and Lynn Rapp","NF","Gardening",24.7,1,18.6,"o5f","Schipper Estate","","","","",40,0,6
"Coastal and Offshore Navigation","Tom Cunliffe","NF","Sailing",24.3,0.7,18.3,"o4e","Schipper Estate","","","","",40,0,7
"The Holy Bible","TODO","F","Religious",24.2,6.2,18.2,"f2c","Fields","","","","Can you build into the functions one so that this one is always in a row with no space, like if there's slack, retry?",40,0,8
"The New York Times Garden Book","Joan Lee Faust","NF","Gardening",24.5,3.5,18,"f1a","Fields","091/092","👍","","",40,0,9
"The Little Match Girl (1)","Hans Chirstian Andersen","F","Children",24.3,0.8,26.8,"o1d","Schipper Estate","","","","",3,0,0
"The Little Match Girl (2)","Hans Chirstian Andersen","F","Children",24.3,0.8,26.8,"o1d","Schipper Estate","","","","",3,0,1
"Tales of Pirates and Buccaneers","Howard Pyle","F","Fiction",24.1,2.2,19.7,"o4f","Schipper Estate","","","","",3,0,2
"The People's Chronology","James Trager","NF","History",24,5.6,19.6,"o5e","Schipper Estate","","","","",3,0,3
"Advanced Programming in the UNIX Environment","W. Richard Stevens","NF","Computer Science",24,5.4,19.2,"o1f","Fields","","","","",3,0,4
"The Masterharper of Pern","Anne McCaffrey","F","Fiction",24.2,3.5,17.1,"b1c","Gareth","","","","",3,0,5
"Introduction to Stochastic Processes","Paul G. Hoel, Sidney C. Port, and Charles J. Stone","NF","Mathematics",24,1.5,17,"o1f","Fields","","","","",3,0,6
"Hearts","Thomas Thompson","NF","Medical",24.1,3.1,16.8,"o5e","Schipper Estate","","","","",3,0,7
"Compilers: Principles, Techniques, and Tools","Alfred V. Aho, Ravi Sethi, and Jeffery D. Ullman","NF","Computer Science",24,4.2,16.5,"o1f","Fields","","","","",3,0,8
"Engineering and Operations in the Bell System","R. F. Rey","NF","Engineering",24,5.5,16.3,"o1f","Fields","","","","",3,0,9
"Educated: A Memoir","Tara Westover","NF","Memior",24.1,2.9,16.2,"o5f","Schipper Estate","","","","",3,0,10
"Steve Jobs","Walter Isaacson","NF","Biography",24,4.5,16.2,"o1b","Gareth","","","","",3,0,11
"Make It Easy In Your Kitchen","Laurie Burrows Grad","NF","Cooking",24,3.2,18.6,"o4e","Schipper Estate","","","","",3,1,0
"Expert Dinghy Racing","Paul Elvström","NF","Sailing",24,2.4,18.6,"f1b","Fields","","","","",3,1,1
"Calculus of Vector Functions","Richard E. Williamson, Richard H. Crowell, and Hale F. Trotter","NF","Mathematics",24,3.7,18.5,"o1f","Fields","","","","",3,1,2
"The Design of the UNIX Operating System","Maurice J. Bach","NF","Computer Science",24,2.8,18.3,"o1f","Fields","","","","",3,1,3
"Assembler Language for FORTRAN, COBOL, and PL/I Programmers","Shan S. Juo","NF","Computer Science",24,2.9,17,"o1e","Fields","","","","",3,1,4
"Artificial Intelligence","Patrick Henry Winston","NF","Computer Science",24,2.7,17,"o1f","Fields","","","","",3,1,5
"3001: The Final Odyssey","Arthur C. Clarke","F","Science Fiction",24,2.5,17,"f1b","Fields","","","","",3,1,6
"Suppers & Buffets","Marguerite Patten","NF","Cooking",24,1.7,17,"o4e","Schipper Estate","","","","",3,1,7
"Designing the User Interface","Ben Shneiderman","NF","Computer Science",24,2.9,16.8,"o1b","Fields","","","","",3,1,8
"Complete Book of Home Repair and Improvements","Popular Mechanics","NF","General Nonfiction",24,3,16.6,"o4d","Schipper Estate","","","","",3,1,9
"The Tactics of Small Boat Racing","Stuart H. Walker, M.D.","NF","Sailing",24,2.8,16.5,"f2e","Fields","","","","",3,1,10
"How to be Your Doh's Best Friend","The Monks of New Skete","NF","Dogs",24,2,16.2,"o1c","Gareth","","","","",3,1,11
"Manual of Sailboat Racing","McDermott and MacMillan","NF","Sailing",23.8,2.8,16.1,"o4e","Schipper Estate","","","","",3,1,12
"This Fine Piece of Water","Tom Andersen","NF","History",23.7,2.3,16,"o4e","Schipper Estate","","","","",3,1,13
"A Working Musician's Joke Book","Daniel G Theaker","F","Humor",22.8,0.7,15,"f2d","Fields","","","","",3,1,14
"The Story of One Hundred Symphonic Favorites","Paul Grabbe","NF","Music",13.1,1.4,9,"o5a","Schipper Estate","","","","",3,1,15
"A Farm","Lennart Rudström","F","Children",23.8,0.8,31.4,"o5d","Schipper Estate","","","","",23,0,0
"The Velveteen Rabbit (1)","Margery Williams","F","Children",24,1,26.3,"f1a","Fields","7924/7925","👍","","",23,0,1
"Sail Power","Wallace Ross","NF","Sailing",23.8,4.9,21.8,"o4e","Schipper Estate","","","","",23,0,2
"Country Roads","TODO","NF","History",24,0.8,21.5,"o5g","Schipper Estate","","","","",23,0,3
"Country Roads (1)","Jennifer G. F. Solms and Paula A. Schoonmaker","NF","History",24,1.3,21.3,"o4f","Schipper Estate","","","","",23,0,4
"Country Roads (2)","Jennifer G. F. Solms and Paula A. Schoonmaker","NF","History",24,1.2,21.3,"o4f","Schipper Estate","","","","",23,0,5
"Guide De Bord du Skipper","Bo Streiffert","NF","French, Sailing",24,0.3,20,"o1c","Gareth","","","","",23,0,6
"The Backyard Builder","John Warde","NF","Gardening",23.9,4.8,20,"o4f","Schipper Estate","","","","",23,0,7
"Championship Sailing","Gary Jobson","NF","Sailing",24,1.9,19.1,"o4e","Schipper Estate","","","","",23,0,8
"How to Rock Climb!","John Long","NF","Sports",23.8,1.6,19,"o3b","Gareth","","","","",23,0,9
"Tools of Titans","Tim Ferriss","NF","Self-help",23.8,5.3,18.3,"o5e","Gareth","","","","",23,0,10
"Funk & Wagnalls Standard Desk Dictionary","Funk & Wagnalls","NF","English",23.8,6,18.2,"o5c","Schipper Estate","","","","",23,0,11
"Object-Oriented Development: The Fusion Method","Derel Coleman and SIX others! No.","NF","Computer Science",24,1.8,18,"o1e","Fields","","","","",23,0,12
"Simscript II.5","P. J. Kiwiat, R. Villanueva, and H. M. Markowitz","NF","Computer Science",24,2.1,17.9,"o1e","Fields","","","","",23,0,13
"Design Patterns for Object-Oriented Software Development","Wolfgang Pree","NF","Computer Science",24,2,17.5,"o1e","Fields","","","","",23,0,14
"Operating System Principles","Per Brinch Hansen","NF","Computer Science",24,2.4,17,"o1f","Fields","","","","",23,0,15
"Introductory Probability and Statistical Applications","Paul L. Meyer","NF","Mathematics",23.9,2.1,16.9,"o1f","Fields","","","","",23,0,16
"Physics Parts I & II","Halliday and Resnick","NF","Physics",23.9,6.5,16.8,"o1f","Fields","","","","",23,0,17
"The Annotated C++ Reference Manual (1)","Margaret A. Ellis and Bjarne Stroustrup","NF","Computer Science",24,2.2,16.6,"o1e","Fields","","","","",23,0,18
"The Annotated C++ Reference Manual (2)","Margaret A. Ellis and Bjarne Stroustrup","NF","Computer Science",24,2.1,16.6,"o1e","Fields","","","","",23,0,19
"Wheels","Arthur Hailey","F","Fiction",23.8,3.4,16.6,"o4f","Schipper Estate","","","","",23,0,20
"Good Advice on Writing","William Safire and Leonard Safir","NF","Writing",24,2.2,16.5,"o4c","Schipper Estate","","","","",23,0,21
"Funk & Wagnalls New Encyclopedia 19/26?","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"f2a","Schipper Estate","","","","",23,0,22
"Funk & Wagnalls Standard Desk Dictionary Volume 1","Sydney I Landau","NF","Reference",23.8,2.8,16.5,"f2a","Schipper Estate","","","","",23,0,23
"Funk & Wagnalls Standard Desk Dictionary Volume 2","Sydney I Landau","NF","Reference",23.8,2.8,16.5,"f2a","Schipper Estate","","","","",23,0,24
"Funk & Wagnalls New Encyclopedia 01/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"f2a","Schipper Estate","","","","",23,0,25
"Funk & Wagnalls New Encyclopedia 02/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"f2a","Schipper Estate","","","","",23,0,26
"Funk & Wagnalls New Encyclopedia 03/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"f2a","Schipper Estate","","","","",23,0,27
"Championship Laser Racing","Glenn Bourke and Mark Rothfield","NF","Sailing",23.8,0.8,17,"o4e","Schipper Estate","","","","",23,1,0
"Funk & Wagnalls New Encyclopedia 04/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"f2a","Schipper Estate","","","","",23,1,1
"Funk & Wagnalls New Encyclopedia 05/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"f2a","Schipper Estate","","","","",23,1,2
"Funk & Wagnalls New Encyclopedia 06/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"f2a","Schipper Estate","","","","",23,1,3
"Funk & Wagnalls New Encyclopedia 07/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"f2a","Schipper Estate","","","","",23,1,4
"Funk & Wagnalls New Encyclopedia 08/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"f2a","Schipper Estate","","","","",23,1,5
"Funk & Wagnalls New Encyclopedia 09/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"f2b","Schipper Estate","","","","",23,1,6
"Funk & Wagnalls New Encyclopedia 10/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"f2b","Schipper Estate","","","","",23,1,7
"Funk & Wagnalls New Encyclopedia 11/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"f2b","Schipper Estate","","","","",23,1,8
"Funk & Wagnalls New Encyclopedia 12/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"f2b","Schipper Estate","","","","",23,1,9
"Funk & Wagnalls New Encyclopedia 13/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"f2b","Schipper Estate","","","","",23,1,10
"Funk & Wagnalls New Encyclopedia 14/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"f2b","Schipper Estate","","","","",23,1,11
"Funk & Wagnalls New Encyclopedia 15/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"f2b","Schipper Estate","","","","",23,1,12
"Funk & Wagnalls New Encyclopedia 16/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"f2b","Schipper Estate","","","","",23,1,13
"Funk & Wagnalls New Encyclopedia 17/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"f2b","Schipper Estate","","","","",23,1,14
"Funk & Wagnalls New Encyclopedia 18/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"f2b","Schipper Estate","","","","",23,1,15
"Funk & Wagnalls New Enclclopedia 25/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"o4d","Schipper Estate","","","","",23,1,16
"Funk & Wagnalls New Enclclopedia 26/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"o4d","Schipper Estate","","","","",23,1,17
"Funk & Wagnalls New Enclclopedia 27/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"o4d","Schipper Estate","","","","",23,1,18
"Funk & Wagnalls New Enclclopedia 28/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"o4d","Schipper Estate","","","","",23,1,19
"Funk & Wagnalls New Enclclopedia 29/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"o4d","Schipper Estate","","","","",23,1,20
"Funk & Wagnalls New Enclclopedia 20/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"o4d","Schipper Estate","","","","",23,1,21
"Funk & Wagnalls New Enclclopedia 21/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"o4d","Schipper Estate","","","","",23,1,22
"Funk & Wagnalls New Enclclopedia 22/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"o4d","Schipper Estate","","","","",23,1,23
"Funk & Wagnalls New Enclclopedia 23/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"o4d","Schipper Estate","","","","",23,1,24
"Funk & Wagnalls New Enclclopedia 24/29","Norma H Dickey","NF","Reference",23.8,2.8,16.5,"o4d","Schipper Estate","","","","",23,1,25
"Catalina By Air","Jeannine L. Pedersen","NF","Travel",23.6,0.8,16.5,"o4e","Schipper Estate","","","","",23,1,26
"PASCAL User Manual and Report","Kathleen Jensen and Niklaus Wirth","NF","Computer Science",23.6,1.1,16.2,"o1e","Fields","","","","",23,1,27
"The Vicar of Nibbleswick","Roald Dahl","F","Children",19.7,0.4,13,"f2d","Fields","","","","",23,1,28
"Merry Christmas, Amelia Bedelia","Peggy Parish","F","Children",19,0.4,13,"o4a","Schipper Estate","","","","",23,1,29
"A Home (1)","Lennart Rudström","F","Children",23.8,0.8,31.4,"o5d","Schipper Estate","","","","",49,0,0
"A Home (2)","Lennart Rudström","F","Children",23.8,0.8,31.4,"o5d","Schipper Estate","","","","",49,0,1
"The Polar Express: 10th Anniversary Edition","Chris Van Allburg","F","Children",23.7,1.1,29.6,"o1d","Schipper Estate","","","","",49,0,2
"The Polar Express","Chris Van Allburg","F","Children",23.7,1.1,29.6,"o1d","Schipper Estate","","","","",49,0,3
"The Magic Schoolbus Inside Ralphie: A Book About Germs","Cole and Degan","F","Fiction",20.2,0.2,20.3,"b1c","Gareth","","","","",49,0,4
"Treasure Island","Robert Louis Stevenson","F","Fiction",23.6,3.2,18.4,"b1c","Gareth","","","","",49,0,5
"The Story of Old Dolls and How to Make New Ones","Winifred H. Mills and Louise M. Dunn","NF","Art",23.7,3.2,16.5,"o4e","Schipper Estate","","","","",49,0,6
"Up And At 'Em","Lieut. Col. Harold E. Hartney D. S. C.","NF","History",23.6,3.5,16.1,"o5f","Schipper Estate","","","","",49,0,7
"Mossflower","Brian Jacques","F","Fiction",23.6,3.6,16,"b1a","Gareth","","","","",49,0,8
"Taggerung","Brian Jacques","F","Fiction",23.6,3.6,16,"b1a","Gareth","","","","",49,0,9
"Peals of Lutra","Brian Jacques","F","Fiction",23.6,3.6,16,"b1a","Gareth","","","","",49,0,10
"Triss","Brian Jacques","F","Fiction",23.6,3.6,16,"b1a","Gareth","","","","",49,0,11
"Mattimeo","Brian Jacques","F","Fiction",23.6,3.5,16,"b1a","Gareth","","","","",49,0,12
"Mariel of Redwall","Brian Jacques","F","Fiction",23.6,3.4,16,"b1a","Gareth","","","","",49,0,13
"Salamandastron","Brian Jacques","F","Fiction",23.6,3.3,16,"b1a","Gareth","","","","",49,0,14
"The Legend of Luke","Brian Jacques","F","Fiction",23.6,3.3,16,"b1a","Gareth","","","","",49,0,15
"While Reagan Slept","Art Buchwald","F","General Nonfiction",23.6,3.2,16,"o4e","Schipper Estate","","","","",49,0,16
"Martin The Warrior","Brian Jacques","F","Fiction",23.6,3.2,16,"b1a","Gareth","","","","",49,0,17
"Marlfox","Brian Jacques","F","Fiction",23.6,3.2,16,"b1a","Gareth","","","","",49,0,18
"Lord Brocktree","Brian Jacques","F","Fiction",23.6,3.2,16,"b1a","Gareth","","","","",49,0,19
"Redwall","Brian Jacques","F","Fiction",23.6,3.1,16,"b1a","Gareth","","","","",49,0,20
"I Think I Don't Remember","Art Buchwald","F","General Nonfiction",23.6,3.2,15.8,"o4e","Schipper Estate","","","","",49,0,21
"The Magic Schoolbus Lost In The Solar System","Cole and Degan","F","Fiction",18.8,0.2,22.8,"b1c","Gareth","","","","",49,1,0
"New York Cookbook","Molly O'Neill","NF","Cooking",23.5,3.2,18.7,"o5e","Schipper Estate","","","","",49,1,1
"Programming Perl","Larry Wall, Tom Christianses, and Jon Orwant","NF","Computer Science",23.5,4.5,17.9,"o1e","Gareth","","","","",49,1,2
"The Maisie-Daisie Book","Sull and Kleinteich","F","Children",23.6,1,17.8,"o5f","Schipper Estate","","","","",49,1,3
"The C Programming Language","Brian W. Kernighan and Dennis M. Ritchie","NF","Computer Science",23.5,1.2,17.3,"o1e","Fields","","","","",49,1,4
"The Theory of Parsing, Translation, and Compiling, Volume 1","Alfred V. Aho and Jeffery D. Ullman","NF","Computer Science",23.5,3.3,16.2,"o1f","Fields","","","","",49,1,5
"Harry Potter and the Deathly Hallows","J. K. Rowling","F","Children",23.5,5.8,16.1,"o1c","Gareth","","","","",49,1,6
"Harry Potter and the Goblet of Fire","J. K. Rowling","F","Children",23.5,5.5,16.1,"o1c","Gareth","","","","",49,1,7
"Harry Potter and the Order of the Pheonix","J. K. Rowling","F","Children",23.5,5.5,16.1,"o1c","Gareth","","","","",49,1,8
"Harry Potter and the Half-Blood Prince","J. K. Rowling","F","Children",23.5,4.9,16.1,"o1c","Gareth","","","","",49,1,9
"Harry Potter and the Prisoner of Azkaban","J. K. Rowling","F","Children",23.5,3.9,16.1,"o1c","Gareth","","","","",49,1,10
"The Long Patrol","Brian Jacques","F","Fiction",23.6,3.1,16,"b1a","Gareth","","","","",49,1,11
"Outcast of Redwall","Brian Jacques","F","Fiction",23.6,3.1,16,"b1a","Gareth","","","","",49,1,12
"Race Your Boat Right","Arthur Knapp, Jr.","NF","Sailing",23.5,3.4,16,"f2d","Fields","","","","",49,1,13
"Laid Back in Washington","Art Buchwald","F","General Nonfiction",23.6,2.9,15.9,"o4d","Schipper Estate","","","","",49,1,14
"Spycatcher","Peter Wright","NF","History",23.6,2.9,15.9,"o4d","Schipper Estate","","","","",49,1,15
